event_id,customer_id,event_type,event_date,from_plan,to_plan,reason,mrr_impact
EVT0000079,CUST00069,Downgrade,2024-02-02,Pro,Free,Plan Downgrade,-49
EVT0000080,CUST00069,Churn,2024-03-27,Free,,Switched to competitor,0
EVT0000081,CUST00070,Churn,2025-01-03,Pro,,Budget cuts,-49
EVT0000082,CUST00074,Downgrade,2022-11-20,Pro,Free,Plan Downgrade,-49
EVT0000083,CUST00074,Churn,2024-08-14,Free,,Upgraded to paid,0
EVT0000084,CUST00075,Churn,2024-07-20,Free,,No longer needed,0
EVT0000085,CUST00076,Downgrade,2023-06-24,Business,Pro,Plan Downgrade,-100
EVT0000086,CUST00076,Churn,2024-04-29,Pro,,Switched to competitor,-49
EVT0000087,CUST00077,Churn,2024-12-30,Free,,Switched to competitor,0
EVT0000088,CUST00078,Churn,2023-05-17,Business,,Company shutdown,-149
EVT0000089,CUST00080,Churn,2024-05-19,Business,,Switched to competitor,-149
EVT0000090,CUST00082,Churn,2024-12-06,Pro,,Switched to competitor,-49
EVT0000091,CUST00083,Churn,2023-10-03,Free,,Switched to competitor,0
EVT0000092,CUST00084,Churn,2023-07-18,Free,,Upgraded to paid,0
EVT0000093,CUST00086,Churn,2024-08-31,Pro,,Technical issues,-49
EVT0000094,CUST00088,Downgrade,2024-03-22,Pro,Free,Plan Downgrade,-49
EVT0000095,CUST00088,Churn,2024-11-25,Free,,No longer needed,0
EVT0000096,CUST00090,Churn,2022-08-29,Business,,Budget cuts,-149
EVT0000097,CUST00092,Churn,2024-07-06,Free,,Upgraded to paid,0
EVT0000098,CUST00094,Churn,2024-02-21,Free,,Upgraded to paid,0
EVT0000099,CUST00095,Churn,2023-05-06,Pro,,Budget cuts,-49
EVT0000100,CUST00096,Upgrade,2023-07-19,Free,Pro,Plan Upgrade,49
EVT0000101,CUST00096,Downgrade,2023-12-16,Pro,Free,Plan Downgrade,-49
EVT0000102,CUST00096,Churn,2024-04-03,Free,,Upgraded to paid,0
EVT0000103,CUST00097,Downgrade,2024-02-28,Pro,Free,Plan Downgrade,-49
EVT0000104,CUST00097,Churn,2024-12-18,Free,,Upgraded to paid,0
EVT0000105,CUST00098,Downgrade,2023-10-10,Business,Pro,Plan Downgrade,-100
EVT0000106,CUST00099,Upgrade,2022-04-25,Free,Pro,Plan Upgrade,49
EVT0000107,CUST00099,Churn,2023-09-22,Pro,,Budget cuts,-49
EVT0000108,CUST00103,Churn,2023-08-07,Pro,,Too expensive,-49
EVT0000109,CUST00104,Churn,2024-12-15,Free,,Switched to competitor,0
EVT0000110,CUST00106,Churn,2022-11-22,Free,,Switched to competitor,0
EVT0000111,CUST00107,Churn,2024-07-06,Pro,,Budget cuts,-49
EVT0000112,CUST00108,Churn,2024-05-25,Free,,No longer needed,0
EVT0000113,CUST00110,Upgrade,2023-12-22,Free,Business,Plan Upgrade,149
EVT0000114,CUST00111,Downgrade,2023-03-01,Business,Pro,Plan Downgrade,-100
EVT0000115,CUST00111,Churn,2023-10-14,Pro,,Switched to competitor,-49
EVT0000116,CUST00112,Upgrade,2024-02-22,Pro,Business,Plan Upgrade,100
EVT0000117,CUST00115,Churn,2024-10-18,Free,,Switched to competitor,0
EVT0000118,CUST00116,Churn,2023-12-15,Business,,Company shutdown,-149
EVT0000119,CUST00117,Churn,2022-06-01,Pro,,Technical issues,-49
EVT0000120,CUST00118,Churn,2023-09-09,Free,,Switched to competitor,0
EVT0000121,CUST00120,Downgrade,2024-06-27,Pro,Free,Plan Downgrade,-49
EVT0000122,CUST00120,Churn,2024-09-09,Free,,Switched to competitor,0
EVT0000123,CUST00121,Churn,2023-06-23,Free,,No longer needed,0
EVT0000124,CUST00122,Churn,2022-09-04,Pro,,Budget cuts,-49
EVT0000125,CUST00123,Churn,2022-03-25,Pro,,Switched to competitor,-49
EVT0000126,CUST00124,Churn,2023-09-13,Business,,Switched to competitor,-149
EVT0000127,CUST00126,Downgrade,2024-10-13,Business,Pro,Plan Downgrade,-100
EVT0000128,CUST00127,Upgrade,2023-08-08,Free,Pro,Plan Upgrade,49
EVT0000129,CUST00127,Downgrade,2024-07-03,Pro,Free,Plan Downgrade,-49
EVT0000130,CUST00127,Churn,2024-10-11,Free,,Switched to competitor,0
EVT0000131,CUST00129,Churn,2024-11-15,Pro,,Switched to competitor,-49
EVT0000132,CUST00130,Upgrade,2022-06-12,Free,Pro,Plan Upgrade,49
EVT0000133,CUST00130,Churn,2022-07-16,Pro,,Missing features,-49
EVT0000134,CUST00131,Churn,2024-11-11,Free,,No longer needed,0
EVT0000135,CUST00133,Churn,2024-09-10,Pro,,Technical issues,-49
EVT0000136,CUST00137,Churn,2024-12-13,Pro,,Switched to competitor,-49
EVT0000137,CUST00139,Downgrade,2023-01-24,Business,Pro,Plan Downgrade,-100
EVT0000138,CUST00139,Upgrade,2024-08-16,Pro,Business,Plan Upgrade,100
EVT0000139,CUST00140,Churn,2023-03-15,Business,,Missing features,-149
EVT0000140,CUST00141,Churn,2023-11-28,Pro,,Technical issues,-49
EVT0000141,CUST00143,Downgrade,2024-08-27,Pro,Free,Plan Downgrade,-49
EVT0000142,CUST00145,Upgrade,2024-04-12,Free,Pro,Plan Upgrade,49
EVT0000143,CUST00145,Downgrade,2024-08-10,Pro,Free,Plan Downgrade,-49
EVT0000144,CUST00145,Upgrade,2024-09-09,Free,Business,Plan Upgrade,149
EVT0000145,CUST00146,Churn,2024-11-22,Pro,,Switched to competitor,-49
EVT0000146,CUST00147,Churn,2024-10-08,Pro,,Switched to competitor,-49
EVT0000147,CUST00148,Downgrade,2024-02-08,Business,Pro,Plan Downgrade,-100
EVT0000148,CUST00148,Churn,2024-10-17,Pro,,Missing features,-49
EVT0000149,CUST00149,Churn,2024-08-15,Business,,Company shutdown,-149
EVT0000150,CUST00151,Churn,2022-07-17,Business,,Missing features,-149
EVT0000151,CUST00152,Upgrade,2024-12-25,Free,Pro,Plan Upgrade,49
EVT0000152,CUST00153,Upgrade,2024-01-09,Free,Pro,Plan Upgrade,49
EVT0000153,CUST00154,Churn,2024-04-03,Business,,Budget cuts,-149
EVT0000154,CUST00155,Churn,2022-07-03,Free,,No longer needed,0
EVT0000155,CUST00156,Churn,2024-02-22,Business,,Missing features,-149
EVT0000156,CUST00157,Churn,2023-10-22,Free,,Upgraded to paid,0
EVT0000157,CUST00161,Churn,2023-12-23,Free,,Switched to competitor,0
EVT0000158,CUST00162,Churn,2023-02-05,Free,,No longer needed,0
EVT0000159,CUST00163,Churn,2022-06-05,Business,,Switched to competitor,-149
EVT0000160,CUST00164,Churn,2024-06-16,Free,,No longer needed,0
EVT0000161,CUST00165,Churn,2023-06-24,Business,,Company shutdown,-149
EVT0000162,CUST00166,Churn,2024-12-05,Free,,No longer needed,0
EVT0000163,CUST00168,Churn,2022-12-08,Business,,Switched to competitor,-149
EVT0000164,CUST00169,Upgrade,2022-11-22,Pro,Business,Plan Upgrade,100
EVT0000165,CUST00169,Churn,2023-07-24,Business,,Missing features,-149
EVT0000166,CUST00170,Churn,2024-12-12,Free,,Switched to competitor,0
EVT0000167,CUST00171,Upgrade,2022-09-11,Pro,Business,Plan Upgrade,100
EVT0000168,CUST00171,Churn,2023-02-06,Business,,Missing features,-149
EVT0000169,CUST00172,Churn,2024-05-28,Free,,Switched to competitor,0
EVT0000170,CUST00173,Churn,2024-07-11,Pro,,Switched to competitor,-49
EVT0000171,CUST00174,Upgrade,2024-06-15,Free,Pro,Plan Upgrade,49
EVT0000172,CUST00174,Downgrade,2024-09-13,Pro,Free,Plan Downgrade,-49
EVT0000173,CUST00175,Churn,2022-11-03,Free,,Upgraded to paid,0
EVT0000174,CUST00177,Churn,2024-10-19,Pro,,Technical issues,-49
EVT0000175,CUST00178,Churn,2024-06-30,Pro,,Missing features,-49
EVT0000176,CUST00180,Churn,2023-06-07,Free,,No longer needed,0
EVT0000177,CUST00183,Churn,2023-10-31,Free,,Upgraded to paid,0
EVT0000178,CUST00184,Churn,2023-12-23,Free,,Switched to competitor,0
EVT0000179,CUST00185,Churn,2023-11-28,Free,,No longer needed,0
EVT0000180,CUST00186,Downgrade,2022-08-21,Pro,Free,Plan Downgrade,-49
EVT0000181,CUST00186,Upgrade,2022-09-20,Free,Business,Plan Upgrade,149
EVT0000182,CUST00186,Churn,2022-11-28,Business,,Too expensive,-149
EVT0000183,CUST00187,Churn,2023-02-23,Pro,,Technical issues,-49
EVT0000184,CUST00189,Downgrade,2022-10-09,Pro,Free,Plan Downgrade,-49
EVT0000185,CUST00189,Churn,2023-10-30,Free,,Upgraded to paid,0
EVT0000186,CUST00192,Churn,2024-01-15,Pro,,Missing features,-49
EVT0000187,CUST00193,Upgrade,2023-03-17,Pro,Business,Plan Upgrade,100
EVT0000188,CUST00194,Upgrade,2022-08-13,Free,Pro,Plan Upgrade,49
EVT0000189,CUST00194,Churn,2025-01-07,Pro,,Budget cuts,-49
EVT0000190,CUST00196,Churn,2024-01-03,Pro,,Budget cuts,-49
EVT0000191,CUST00197,Downgrade,2024-01-31,Business,Pro,Plan Downgrade,-100
EVT0000192,CUST00197,Downgrade,2024-03-01,Pro,Free,Plan Downgrade,-49
EVT0000193,CUST00198,Upgrade,2022-08-14,Free,Pro,Plan Upgrade,49
EVT0000194,CUST00199,Downgrade,2024-02-05,Business,Pro,Plan Downgrade,-100
EVT0000195,CUST00199,Upgrade,2024-08-03,Pro,Business,Plan Upgrade,100
EVT0000196,CUST00199,Downgrade,2024-11-01,Business,Pro,Plan Downgrade,-100
EVT0000197,CUST00200,Churn,2024-06-15,Free,,No longer needed,0
EVT0000198,CUST00201,Churn,2022-11-01,Pro,,Technical issues,-49
EVT0000199,CUST00202,Churn,2023-07-15,Free,,Upgraded to paid,0
EVT0000200,CUST00203,Churn,2022-12-23,Free,,Switched to competitor,0
EVT0000201,CUST00204,Churn,2023-03-12,Free,,Upgraded to paid,0
EVT0000202,CUST00206,Upgrade,2022-07-17,Pro,Business,Plan Upgrade,100
EVT0000203,CUST00206,Churn,2023-02-25,Business,,Budget cuts,-149
EVT0000204,CUST00207,Upgrade,2024-05-18,Free,Business,Plan Upgrade,149
EVT0000205,CUST00208,Churn,2023-12-16,Pro,,Too expensive,-49
EVT0000206,CUST00209,Churn,2024-02-06,Pro,,Budget cuts,-49
EVT0000207,CUST00211,Churn,2024-11-26,Free,,Upgraded to paid,0
EVT0000208,CUST00213,Churn,2022-05-22,Free,,No longer needed,0
EVT0000209,CUST00214,Churn,2024-12-23,Free,,No longer needed,0
EVT0000210,CUST00215,Churn,2022-05-04,Business,,Switched to competitor,-149
EVT0000211,CUST00217,Upgrade,2024-06-19,Free,Pro,Plan Upgrade,49
EVT0000212,CUST00218,Downgrade,2024-01-14,Pro,Free,Plan Downgrade,-49
EVT0000213,CUST00218,Upgrade,2024-04-13,Free,Pro,Plan Upgrade,49
EVT0000214,CUST00219,Upgrade,2022-12-29,Free,Pro,Plan Upgrade,49
EVT0000215,CUST00219,Downgrade,2024-08-20,Pro,Free,Plan Downgrade,-49
EVT0000216,CUST00219,Churn,2024-10-27,Free,,Switched to competitor,0
EVT0000217,CUST00220,Downgrade,2023-01-30,Business,Pro,Plan Downgrade,-100
EVT0000218,CUST00220,Churn,2023-05-19,Pro,,Switched to competitor,-49
EVT0000219,CUST00221,Churn,2024-02-02,Free,,Upgraded to paid,0
EVT0000220,CUST00222,Churn,2024-11-16,Pro,,Missing features,-49
EVT0000221,CUST00224,Downgrade,2024-03-25,Pro,Free,Plan Downgrade,-49
EVT0000222,CUST00224,Upgrade,2024-04-24,Free,Pro,Plan Upgrade,49
EVT0000223,CUST00224,Churn,2024-08-29,Pro,,Technical issues,-49
EVT0000224,CUST00225,Downgrade,2023-01-20,Business,Pro,Plan Downgrade,-100
EVT0000225,CUST00226,Downgrade,2024-09-25,Business,Pro,Plan Downgrade,-100
EVT0000226,CUST00227,Churn,2023-08-18,Free,,Switched to competitor,0
EVT0000227,CUST00228,Churn,2023-04-12,Business,,Too expensive,-149
EVT0000228,CUST00230,Churn,2023-01-24,Free,,Upgraded to paid,0
EVT0000229,CUST00231,Churn,2024-09-02,Free,,Upgraded to paid,0
EVT0000230,CUST00232,Downgrade,2024-10-29,Business,Pro,Plan Downgrade,-100
EVT0000231,CUST00233,Churn,2023-10-07,Free,,No longer needed,0
EVT0000232,CUST00234,Churn,2024-06-25,Pro,,Technical issues,-49
EVT0000233,CUST00235,Upgrade,2023-04-07,Pro,Business,Plan Upgrade,100
EVT0000234,CUST00235,Churn,2023-07-04,Business,,Missing features,-149
EVT0000235,CUST00236,Churn,2022-03-23,Pro,,Switched to competitor,-49
EVT0000236,CUST00237,Churn,2023-01-13,Business,,Company shutdown,-149
EVT0000237,CUST00238,Churn,2024-12-22,Business,,Too expensive,-149
EVT0000238,CUST00240,Upgrade,2024-09-20,Free,Pro,Plan Upgrade,49
EVT0000239,CUST00241,Upgrade,2024-10-26,Free,Pro,Plan Upgrade,49
EVT0000240,CUST00242,Downgrade,2022-11-13,Business,Pro,Plan Downgrade,-100
EVT0000241,CUST00242,Downgrade,2024-04-06,Pro,Free,Plan Downgrade,-49
EVT0000242,CUST00242,Churn,2024-06-10,Free,,Switched to competitor,0
EVT0000243,CUST00243,Churn,2023-02-17,Free,,Upgraded to paid,0
EVT0000244,CUST00245,Churn,2024-12-03,Free,,Switched to competitor,0
EVT0000245,CUST00246,Churn,2024-04-22,Pro,,Too expensive,-49
EVT0000246,CUST00247,Churn,2022-10-10,Business,,Too expensive,-149
EVT0000247,CUST00249,Upgrade,2024-05-16,Free,Pro,Plan Upgrade,49
EVT0000248,CUST00249,Upgrade,2024-06-15,Pro,Business,Plan Upgrade,100
EVT0000249,CUST00251,Upgrade,2022-03-05,Pro,Business,Plan Upgrade,100
EVT0000250,CUST00252,Churn,2022-10-13,Free,,No longer needed,0
EVT0000251,CUST00253,Downgrade,2024-01-16,Business,Pro,Plan Downgrade,-100
EVT0000252,CUST00253,Churn,2024-12-15,Pro,,Technical issues,-49
EVT0000253,CUST00254,Churn,2022-07-12,Pro,,Technical issues,-49
EVT0000254,CUST00255,Upgrade,2023-05-29,Free,Pro,Plan Upgrade,49
EVT0000255,CUST00255,Upgrade,2023-10-26,Pro,Business,Plan Upgrade,100
EVT0000256,CUST00256,Churn,2022-09-28,Free,,Switched to competitor,0
EVT0000257,CUST00258,Upgrade,2024-11-06,Free,Pro,Plan Upgrade,49
EVT0000258,CUST00259,Churn,2022-05-16,Pro,,Technical issues,-49
EVT0000259,CUST00262,Churn,2024-05-11,Pro,,Technical issues,-49
EVT0000260,CUST00263,Churn,2023-09-26,Pro,,Missing features,-49
EVT0000261,CUST00264,Churn,2024-08-21,Pro,,Missing features,-49
EVT0000262,CUST00265,Churn,2024-08-08,Free,,No longer needed,0
EVT0000263,CUST00266,Churn,2024-09-17,Business,,Too expensive,-149
EVT0000264,CUST00267,Churn,2024-01-25,Free,,Upgraded to paid,0
EVT0000265,CUST00268,Upgrade,2024-08-15,Pro,Business,Plan Upgrade,100
EVT0000266,CUST00269,Upgrade,2024-05-24,Free,Pro,Plan Upgrade,49
EVT0000267,CUST00270,Churn,2024-11-20,Free,,Switched to competitor,0
EVT0000268,CUST00271,Upgrade,2023-12-05,Free,Pro,Plan Upgrade,49
EVT0000269,CUST00271,Upgrade,2024-06-02,Pro,Business,Plan Upgrade,100
EVT0000270,CUST00274,Upgrade,2023-04-19,Free,Pro,Plan Upgrade,49
EVT0000271,CUST00274,Upgrade,2024-04-13,Pro,Business,Plan Upgrade,100
EVT0000272,CUST00275,Churn,2024-11-10,Free,,No longer needed,0
EVT0000273,CUST00276,Churn,2023-07-29,Free,,No longer needed,0
EVT0000274,CUST00277,Upgrade,2023-12-26,Pro,Business,Plan Upgrade,100
EVT0000275,CUST00278,Churn,2022-09-28,Free,,Switched to competitor,0
EVT0000276,CUST00280,Upgrade,2024-10-18,Free,Pro,Plan Upgrade,49
EVT0000277,CUST00280,Churn,2025-01-05,Pro,,Too expensive,-49
EVT0000278,CUST00281,Churn,2023-04-15,Pro,,Missing features,-49
EVT0000279,CUST00282,Churn,2023-10-22,Business,,Too expensive,-149
EVT0000280,CUST00283,Churn,2023-10-29,Pro,,Too expensive,-49
EVT0000281,CUST00284,Churn,2022-12-10,Free,,No longer needed,0
EVT0000282,CUST00285,Churn,2023-07-20,Business,,Missing features,-149
EVT0000283,CUST00286,Churn,2023-03-27,Free,,Switched to competitor,0
EVT0000284,CUST00287,Upgrade,2024-02-22,Free,Business,Plan Upgrade,149
EVT0000285,CUST00287,Churn,2024-12-21,Business,,Missing features,-149
EVT0000286,CUST00288,Churn,2023-09-11,Free,,Switched to competitor,0
EVT0000287,CUST00289,Churn,2024-09-13,Free,,No longer needed,0
EVT0000288,CUST00290,Churn,2025-01-01,Free,,No longer needed,0
EVT0000289,CUST00292,Churn,2024-07-08,Free,,Switched to competitor,0
EVT0000290,CUST00293,Churn,2022-07-07,Pro,,Too expensive,-49
EVT0000291,CUST00294,Upgrade,2024-08-28,Free,Pro,Plan Upgrade,49
EVT0000292,CUST00294,Churn,2025-01-13,Pro,,Too expensive,-49
EVT0000293,CUST00296,Churn,2024-09-16,Free,,Switched to competitor,0
EVT0000294,CUST00298,Churn,2024-11-07,Free,,Upgraded to paid,0
EVT0000295,CUST00299,Churn,2022-04-23,Free,,Upgraded to paid,0
EVT0000296,CUST00300,Churn,2023-11-20,Pro,,Switched to competitor,-49
EVT0000297,CUST00301,Churn,2023-11-29,Free,,Switched to competitor,0
EVT0000298,CUST00302,Churn,2024-10-13,Pro,,Budget cuts,-49
EVT0000299,CUST00303,Downgrade,2024-01-23,Business,Pro,Plan Downgrade,-100
EVT0000300,CUST00303,Churn,2024-06-26,Pro,,Too expensive,-49
EVT0000301,CUST00304,Upgrade,2023-04-01,Free,Pro,Plan Upgrade,49
EVT0000302,CUST00304,Churn,2023-07-15,Pro,,Missing features,-49
EVT0000303,CUST00305,Churn,2024-08-23,Business,,Company shutdown,-149
EVT0000304,CUST00306,Churn,2024-12-09,Business,,Too expensive,-149
EVT0000305,CUST00307,Churn,2022-09-05,Pro,,Budget cuts,-49
EVT0000306,CUST00308,Upgrade,2022-05-25,Pro,Business,Plan Upgrade,100
EVT0000307,CUST00311,Churn,2023-10-04,Free,,Upgraded to paid,0
EVT0000308,CUST00313,Churn,2023-06-15,Pro,,Technical issues,-49
EVT0000309,CUST00316,Churn,2024-08-04,Free,,Switched to competitor,0
EVT0000310,CUST00317,Upgrade,2023-06-29,Pro,Business,Plan Upgrade,100
EVT0000311,CUST00317,Churn,2023-08-01,Business,,Too expensive,-149
EVT0000312,CUST00318,Churn,2024-02-14,Pro,,Switched to competitor,-49
EVT0000313,CUST00319,Churn,2023-10-14,Pro,,Switched to competitor,-49
EVT0000314,CUST00320,Downgrade,2023-09-08,Business,Free,Plan Downgrade,-149
EVT0000315,CUST00320,Churn,2023-10-25,Free,,No longer needed,0
EVT0000316,CUST00321,Churn,2024-01-17,Pro,,Switched to competitor,-49
EVT0000317,CUST00322,Churn,2023-04-19,Free,,Switched to competitor,0
EVT0000318,CUST00324,Downgrade,2024-11-30,Business,Pro,Plan Downgrade,-100
EVT0000319,CUST00325,Churn,2022-11-24,Pro,,Budget cuts,-49
EVT0000320,CUST00328,Downgrade,2022-01-19,Business,Free,Plan Downgrade,-149
EVT0000321,CUST00328,Churn,2022-07-11,Free,,No longer needed,0
EVT0000322,CUST00329,Downgrade,2024-07-19,Pro,Free,Plan Downgrade,-49
EVT0000323,CUST00329,Upgrade,2024-09-17,Free,Pro,Plan Upgrade,49
EVT0000324,CUST00329,Downgrade,2024-11-16,Pro,Free,Plan Downgrade,-49
EVT0000325,CUST00331,Churn,2023-03-16,Free,,Upgraded to paid,0
EVT0000326,CUST00332,Upgrade,2023-02-24,Free,Business,Plan Upgrade,149
EVT0000327,CUST00332,Churn,2023-05-31,Business,,Company shutdown,-149
EVT0000328,CUST00333,Upgrade,2024-08-29,Free,Business,Plan Upgrade,149
EVT0000329,CUST00334,Churn,2024-01-28,Free,,Switched to competitor,0
EVT0000330,CUST00336,Upgrade,2023-07-28,Free,Pro,Plan Upgrade,49
EVT0000331,CUST00336,Downgrade,2023-12-25,Pro,Free,Plan Downgrade,-49
EVT0000332,CUST00336,Churn,2024-02-18,Free,,No longer needed,0
EVT0000333,CUST00337,Churn,2025-01-10,Free,,Switched to competitor,0
EVT0000334,CUST00339,Downgrade,2024-05-05,Pro,Free,Plan Downgrade,-49
EVT0000335,CUST00339,Churn,2024-11-19,Free,,Upgraded to paid,0
EVT0000336,CUST00340,Downgrade,2023-05-23,Pro,Free,Plan Downgrade,-49
EVT0000337,CUST00340,Churn,2024-05-10,Free,,No longer needed,0
EVT0000338,CUST00342,Churn,2024-12-04,Free,,No longer needed,0
EVT0000339,CUST00343,Churn,2023-05-15,Pro,,Technical issues,-49
EVT0000340,CUST00344,Upgrade,2022-05-24,Pro,Business,Plan Upgrade,100
EVT0000341,CUST00344,Churn,2023-05-30,Business,,Company shutdown,-149
EVT0000342,CUST00346,Upgrade,2023-10-19,Free,Business,Plan Upgrade,149
EVT0000343,CUST00347,Downgrade,2023-08-27,Business,Pro,Plan Downgrade,-100
EVT0000344,CUST00348,Upgrade,2024-10-14,Pro,Business,Plan Upgrade,100
EVT0000345,CUST00350,Upgrade,2023-02-27,Free,Pro,Plan Upgrade,49
