subscription_id,customer_id,plan,mrr,start_date,end_date,status,churn_reason,duration_months
SUB000121,CUST00088,Pro,49,2023-03-28,2024-03-22,Downgraded,,12
SUB000122,CUST00088,Free,0,2024-03-22,2024-11-25,Churned,No longer needed,8
SUB000123,CUST00089,Pro,49,2024-04-08,,Active,,8
SUB000124,CUST00090,Business,149,2022-02-25,2022-08-29,Churned,Budget cuts,6
SUB000125,CUST00091,Free,0,2023-06-17,,Active,,18
SUB000126,CUST00092,Free,0,2024-05-13,2024-07-06,Churned,Upgraded to paid,1
SUB000127,CUST00093,Business,149,2023-12-18,,Active,,12
SUB000128,CUST00094,Free,0,2023-05-22,2024-02-21,Churned,Upgraded to paid,9
SUB000129,CUST00095,Pro,49,2022-08-23,2023-05-06,Churned,Budget cuts,8
SUB000130,CUST00096,Free,0,2022-08-23,2023-07-19,Upgraded,,11
SUB000131,CUST00096,Pro,49,2023-07-19,2023-12-16,Downgraded,,5
SUB000132,CUST00096,Free,0,2023-12-16,2024-04-03,Churned,Upgraded to paid,3
SUB000133,CUST00097,Pro,49,2023-10-01,2024-02-28,Downgraded,,5
SUB000134,CUST00097,Free,0,2024-02-28,2024-12-18,Churned,Upgraded to paid,9
SUB000135,CUST00098,Business,149,2023-05-13,2023-10-10,Downgraded,,5
SUB000136,CUST00098,Pro,49,2023-10-10,,Active,,14
SUB000137,CUST00099,Free,0,2022-03-26,2022-04-25,Upgraded,,1
SUB000138,CUST00099,Pro,49,2022-04-25,2023-09-22,Churned,Budget cuts,17
SUB000139,CUST00100,Pro,49,2023-11-30,,Active,,13
SUB000140,CUST00101,Pro,49,2024-07-30,,Active,,5
SUB000141,CUST00102,Business,149,2024-09-17,,Active,,3
SUB000142,CUST00103,Pro,49,2023-07-26,2023-08-07,Churned,Too expensive,1
SUB000143,CUST00104,Free,0,2024-02-16,2024-12-15,Churned,Switched to competitor,10
SUB000144,CUST00105,Business,149,2023-12-28,,Active,,12
SUB000145,CUST00106,Free,0,2022-01-21,2022-11-22,Churned,Switched to competitor,10
SUB000146,CUST00107,Pro,49,2023-05-08,2024-07-06,Churned,Budget cuts,14
SUB000147,CUST00108,Free,0,2023-08-26,2024-05-25,Churned,No longer needed,9
SUB000148,CUST00109,Business,149,2024-08-27,,Active,,4
SUB000149,CUST00110,Free,0,2023-12-22,2023-12-22,Upgraded,,1
SUB000150,CUST00110,Business,149,2023-12-22,,Active,,12
SUB000151,CUST00111,Business,149,2023-01-30,2023-03-01,Downgraded,,1
SUB000152,CUST00111,Pro,49,2023-03-01,2023-10-14,Churned,Switched to competitor,7
SUB000153,CUST00112,Pro,49,2023-01-28,2024-02-22,Upgraded,,13
SUB000154,CUST00112,Business,149,2024-02-22,,Active,,10
SUB000155,CUST00113,Pro,49,2023-08-03,,Active,,17
SUB000156,CUST00114,Business,149,2022-09-17,,Active,,27
SUB000157,CUST00115,Free,0,2024-10-02,2024-10-18,Churned,Switched to competitor,1
SUB000158,CUST00116,Business,149,2023-11-29,2023-12-15,Churned,Company shutdown,1
SUB000159,CUST00117,Pro,49,2022-05-14,2022-06-01,Churned,Technical issues,1
SUB000160,CUST00118,Free,0,2022-11-02,2023-09-09,Churned,Switched to competitor,10
SUB000161,CUST00119,Business,149,2023-04-08,,Active,,21
SUB000162,CUST00120,Pro,49,2024-05-28,2024-06-27,Downgraded,,1
SUB000163,CUST00120,Free,0,2024-06-27,2024-09-09,Churned,Switched to competitor,2
SUB000164,CUST00121,Free,0,2023-03-02,2023-06-23,Churned,No longer needed,3
SUB000165,CUST00122,Pro,49,2022-06-03,2022-09-04,Churned,Budget cuts,3
SUB000166,CUST00123,Pro,49,2022-03-08,2022-03-25,Churned,Switched to competitor,1
SUB000167,CUST00124,Business,149,2023-04-24,2023-09-13,Churned,Switched to competitor,4
SUB000168,CUST00125,Free,0,2024-05-20,,Active,,7
SUB000169,CUST00126,Business,149,2022-05-27,2024-10-13,Downgraded,,29
SUB000170,CUST00126,Pro,49,2024-10-13,,Active,,2
SUB000171,CUST00127,Free,0,2022-09-12,2023-08-08,Upgraded,,11
SUB000172,CUST00127,Pro,49,2023-08-08,2024-07-03,Downgraded,,11
SUB000173,CUST00127,Free,0,2024-07-03,2024-10-11,Churned,Switched to competitor,3
SUB000174,CUST00128,Business,149,2024-10-08,,Active,,2
SUB000175,CUST00129,Pro,49,2023-05-28,2024-11-15,Churned,Switched to competitor,17
SUB000176,CUST00130,Free,0,2022-02-12,2022-06-12,Upgraded,,4
SUB000177,CUST00130,Pro,49,2022-06-12,2022-07-16,Churned,Missing features,1
SUB000178,CUST00131,Free,0,2024-08-21,2024-11-11,Churned,No longer needed,2
SUB000179,CUST00132,Free,0,2024-10-04,,Active,,2
SUB000180,CUST00133,Pro,49,2022-08-03,2024-09-10,Churned,Technical issues,25
SUB000181,CUST00134,Pro,49,2024-03-31,,Active,,9
SUB000182,CUST00135,Business,149,2023-10-25,,Active,,14
SUB000183,CUST00136,Free,0,2024-08-04,,Active,,4
SUB000184,CUST00137,Pro,49,2024-06-24,2024-12-13,Churned,Switched to competitor,5
SUB000185,CUST00138,Business,149,2024-09-19,,Active,,3
SUB000186,CUST00139,Business,149,2022-01-29,2023-01-24,Downgraded,,12
SUB000187,CUST00139,Pro,49,2023-01-24,2024-08-16,Upgraded,,19
SUB000188,CUST00139,Business,149,2024-08-16,,Active,,4
SUB000189,CUST00140,Business,149,2022-08-29,2023-03-15,Churned,Missing features,6
SUB000190,CUST00141,Pro,49,2023-07-14,2023-11-28,Churned,Technical issues,4
SUB000191,CUST00142,Business,149,2022-10-24,,Active,,26
SUB000192,CUST00143,Pro,49,2024-04-29,2024-08-27,Downgraded,,4
SUB000193,CUST00143,Free,0,2024-08-27,,Active,,4
SUB000194,CUST00144,Pro,49,2024-09-29,,Active,,3
SUB000195,CUST00145,Free,0,2024-02-12,2024-04-12,Upgraded,,2
SUB000196,CUST00145,Pro,49,2024-04-12,2024-08-10,Downgraded,,4
SUB000197,CUST00145,Free,0,2024-08-10,2024-09-09,Upgraded,,1
SUB000198,CUST00145,Business,149,2024-09-09,,Active,,3
SUB000199,CUST00146,Pro,49,2024-02-24,2024-11-22,Churned,Switched to competitor,9
SUB000200,CUST00147,Pro,49,2024-03-01,2024-10-08,Churned,Switched to competitor,7
SUB000201,CUST00148,Business,149,2022-09-16,2024-02-08,Downgraded,,17
SUB000202,CUST00148,Pro,49,2024-02-08,2024-10-17,Churned,Missing features,8
SUB000203,CUST00149,Business,149,2024-07-24,2024-08-15,Churned,Company shutdown,1
SUB000204,CUST00150,Pro,49,2024-08-19,,Active,,4
SUB000205,CUST00151,Business,149,2022-06-14,2022-07-17,Churned,Missing features,1
SUB000206,CUST00152,Free,0,2024-09-26,2024-12-25,Upgraded,,3
SUB000207,CUST00152,Pro,49,2024-12-25,,Active,,1
SUB000208,CUST00153,Free,0,2023-08-12,2024-01-09,Upgraded,,5
SUB000209,CUST00153,Pro,49,2024-01-09,,Active,,11
SUB000210,CUST00154,Business,149,2022-07-25,2024-04-03,Churned,Budget cuts,20
SUB000211,CUST00155,Free,0,2022-04-25,2022-07-03,Churned,No longer needed,2
SUB000212,CUST00156,Business,149,2023-01-04,2024-02-22,Churned,Missing features,13
SUB000213,CUST00157,Free,0,2023-05-09,2023-10-22,Churned,Upgraded to paid,5
SUB000214,CUST00158,Business,149,2024-07-30,,Active,,5
SUB000215,CUST00159,Business,149,2022-11-20,,Active,,25
SUB000216,CUST00160,Business,149,2023-05-28,,Active,,19
SUB000217,CUST00161,Free,0,2023-05-01,2023-12-23,Churned,Switched to competitor,7
SUB000218,CUST00162,Free,0,2022-02-14,2023-02-05,Churned,No longer needed,11
SUB000219,CUST00163,Business,149,2022-04-11,2022-06-05,Churned,Switched to competitor,1
SUB000220,CUST00164,Free,0,2023-12-23,2024-06-16,Churned,No longer needed,5
SUB000221,CUST00165,Business,149,2022-10-08,2023-06-24,Churned,Company shutdown,8
SUB000222,CUST00166,Free,0,2024-01-18,2024-12-05,Churned,No longer needed,10
SUB000223,CUST00167,Pro,49,2022-12-26,,Active,,24
SUB000224,CUST00168,Business,149,2022-12-03,2022-12-08,Churned,Switched to competitor,1
SUB000225,CUST00169,Pro,49,2022-08-24,2022-11-22,Upgraded,,3
SUB000226,CUST00169,Business,149,2022-11-22,2023-07-24,Churned,Missing features,8
SUB000227,CUST00170,Free,0,2024-03-24,2024-12-12,Churned,Switched to competitor,8
SUB000228,CUST00171,Pro,49,2022-09-11,2022-09-11,Upgraded,,1
SUB000229,CUST00171,Business,149,2022-09-11,2023-02-06,Churned,Missing features,4
SUB000230,CUST00172,Free,0,2024-01-31,2024-05-28,Churned,Switched to competitor,3
SUB000231,CUST00173,Pro,49,2023-03-30,2024-07-11,Churned,Switched to competitor,15
SUB000232,CUST00174,Free,0,2024-04-16,2024-06-15,Upgraded,,2
SUB000233,CUST00174,Pro,49,2024-06-15,2024-09-13,Downgraded,,3
SUB000234,CUST00174,Free,0,2024-09-13,,Active,,3
SUB000235,CUST00175,Free,0,2022-07-19,2022-11-03,Churned,Upgraded to paid,3
SUB000236,CUST00176,Business,149,2024-05-08,,Active,,7
SUB000237,CUST00177,Pro,49,2024-09-29,2024-10-19,Churned,Technical issues,1
SUB000238,CUST00178,Pro,49,2024-06-29,2024-06-30,Churned,Missing features,1
SUB000239,CUST00179,Business,149,2024-01-05,,Active,,12
SUB000240,CUST00180,Free,0,2023-03-11,2023-06-07,Churned,No longer needed,2
SUB000241,CUST00181,Business,149,2022-09-15,,Active,,27
SUB000242,CUST00182,Pro,49,2023-03-19,,Active,,21
SUB000243,CUST00183,Free,0,2023-07-22,2023-10-31,Churned,Upgraded to paid,3
SUB000244,CUST00184,Free,0,2022-08-14,2023-12-23,Churned,Switched to competitor,16
SUB000245,CUST00185,Free,0,2023-10-26,2023-11-28,Churned,No longer needed,1
SUB000246,CUST00186,Pro,49,2022-08-21,2022-08-21,Downgraded,,1
SUB000247,CUST00186,Free,0,2022-08-21,2022-09-20,Upgraded,,1
SUB000248,CUST00186,Business,149,2022-09-20,2022-11-28,Churned,Too expensive,2
SUB000249,CUST00187,Pro,49,2022-08-12,2023-02-23,Churned,Technical issues,6
SUB000250,CUST00188,Business,149,2023-09-10,,Active,,15
SUB000251,CUST00189,Pro,49,2022-08-10,2022-10-09,Downgraded,,2
SUB000252,CUST00189,Free,0,2022-10-09,2023-10-30,Churned,Upgraded to paid,12
SUB000253,CUST00190,Pro,49,2022-05-15,,Active,,32
SUB000254,CUST00191,Pro,49,2024-02-20,,Active,,10
SUB000255,CUST00192,Pro,49,2022-07-23,2024-01-15,Churned,Missing features,18
SUB000256,CUST00193,Pro,49,2023-03-17,2023-03-17,Upgraded,,1
SUB000257,CUST00193,Business,149,2023-03-17,,Active,,21
SUB000258,CUST00194,Free,0,2022-07-14,2022-08-13,Upgraded,,1
SUB000259,CUST00194,Pro,49,2022-08-13,2025-01-07,Churned,Budget cuts,29
SUB000260,CUST00195,Business,149,2024-08-29,,Active,,4
SUB000261,CUST00196,Pro,49,2022-09-24,2024-01-03,Churned,Budget cuts,15
SUB000262,CUST00197,Business,149,2022-09-08,2024-01-31,Downgraded,,17
SUB000263,CUST00197,Pro,49,2024-01-31,2024-03-01,Downgraded,,1
SUB000264,CUST00197,Free,0,2024-03-01,,Active,,10
SUB000265,CUST00198,Free,0,2022-04-16,2022-08-14,Upgraded,,4
SUB000266,CUST00198,Pro,49,2022-08-14,,Active,,29
SUB000267,CUST00199,Business,149,2023-03-12,2024-02-05,Downgraded,,11
SUB000268,CUST00199,Pro,49,2024-02-05,2024-08-03,Upgraded,,6
SUB000269,CUST00199,Business,149,2024-08-03,2024-11-01,Downgraded,,3
SUB000270,CUST00199,Pro,49,2024-11-01,,Active,,2
SUB000271,CUST00200,Free,0,2024-01-23,2024-06-15,Churned,No longer needed,4
SUB000272,CUST00201,Pro,49,2022-02-23,2022-11-01,Churned,Technical issues,8
SUB000273,CUST00202,Free,0,2023-07-14,2023-07-15,Churned,Upgraded to paid,1
SUB000274,CUST00203,Free,0,2022-10-21,2022-12-23,Churned,Switched to competitor,2
SUB000275,CUST00204,Free,0,2022-07-07,2023-03-12,Churned,Upgraded to paid,8
SUB000276,CUST00205,Business,149,2024-01-28,,Active,,11
SUB000277,CUST00206,Pro,49,2022-04-18,2022-07-17,Upgraded,,3
SUB000278,CUST00206,Business,149,2022-07-17,2023-02-25,Churned,Budget cuts,7
SUB000279,CUST00207,Free,0,2024-05-18,2024-05-18,Upgraded,,1
SUB000280,CUST00207,Business,149,2024-05-18,,Active,,7
SUB000281,CUST00208,Pro,49,2023-12-08,2023-12-16,Churned,Too expensive,1
SUB000282,CUST00209,Pro,49,2023-09-24,2024-02-06,Churned,Budget cuts,4
SUB000283,CUST00210,Pro,49,2023-09-10,,Active,,15
SUB000284,CUST00211,Free,0,2024-10-15,2024-11-26,Churned,Upgraded to paid,1
SUB000285,CUST00212,Free,0,2024-10-21,,Active,,2
SUB000286,CUST00213,Free,0,2022-03-28,2022-05-22,Churned,No longer needed,1
SUB000287,CUST00214,Free,0,2024-05-29,2024-12-23,Churned,No longer needed,6
SUB000288,CUST00215,Business,149,2022-02-12,2022-05-04,Churned,Switched to competitor,2
SUB000289,CUST00216,Pro,49,2024-01-12,,Active,,11
SUB000290,CUST00217,Free,0,2024-03-21,2024-06-19,Upgraded,,3
SUB000291,CUST00217,Pro,49,2024-06-19,,Active,,6
SUB000292,CUST00218,Pro,49,2022-08-22,2024-01-14,Downgraded,,17
SUB000293,CUST00218,Free,0,2024-01-14,2024-04-13,Upgraded,,3
SUB000294,CUST00218,Pro,49,2024-04-13,,Active,,8
SUB000295,CUST00219,Free,0,2022-10-30,2022-12-29,Upgraded,,2
SUB000296,CUST00219,Pro,49,2022-12-29,2024-08-20,Downgraded,,20
SUB000297,CUST00219,Free,0,2024-08-20,2024-10-27,Churned,Switched to competitor,2
SUB000298,CUST00220,Business,149,2022-06-04,2023-01-30,Downgraded,,8
SUB000299,CUST00220,Pro,49,2023-01-30,2023-05-19,Churned,Switched to competitor,3
SUB000300,CUST00221,Free,0,2023-10-24,2024-02-02,Churned,Upgraded to paid,3
SUB000301,CUST00222,Pro,49,2024-06-24,2024-11-16,Churned,Missing features,4
SUB000302,CUST00223,Business,149,2024-08-03,,Active,,5
SUB000303,CUST00224,Pro,49,2022-07-04,2024-03-25,Downgraded,,21
SUB000304,CUST00224,Free,0,2024-03-25,2024-04-24,Upgraded,,1
SUB000305,CUST00224,Pro,49,2024-04-24,2024-08-29,Churned,Technical issues,4
SUB000306,CUST00225,Business,149,2022-03-26,2023-01-20,Downgraded,,10
SUB000307,CUST00225,Pro,49,2023-01-20,,Active,,23
SUB000308,CUST00226,Business,149,2022-11-05,2024-09-25,Downgraded,,23
SUB000309,CUST00226,Pro,49,2024-09-25,,Active,,3
SUB000310,CUST00227,Free,0,2022-06-22,2023-08-18,Churned,Switched to competitor,14
SUB000311,CUST00228,Business,149,2022-11-22,2023-04-12,Churned,Too expensive,4
SUB000312,CUST00229,Pro,49,2023-11-17,,Active,,13
SUB000313,CUST00230,Free,0,2022-11-04,2023-01-24,Churned,Upgraded to paid,2
SUB000314,CUST00231,Free,0,2024-03-13,2024-09-02,Churned,Upgraded to paid,5
SUB000315,CUST00232,Business,149,2023-11-04,2024-10-29,Downgraded,,12
SUB000316,CUST00232,Pro,49,2024-10-29,,Active,,2
SUB000317,CUST00233,Free,0,2022-07-11,2023-10-07,Churned,No longer needed,15
SUB000318,CUST00234,Pro,49,2023-01-05,2024-06-25,Churned,Technical issues,17
SUB000319,CUST00235,Pro,49,2022-10-09,2023-04-07,Upgraded,,6
SUB000320,CUST00235,Business,149,2023-04-07,2023-07-04,Churned,Missing features,2
SUB000321,CUST00236,Pro,49,2022-03-19,2022-03-23,Churned,Switched to competitor,1
SUB000322,CUST00237,Business,149,2023-01-06,2023-01-13,Churned,Company shutdown,1
SUB000323,CUST00238,Business,149,2024-04-21,2024-12-22,Churned,Too expensive,8
SUB000324,CUST00239,Business,149,2024-07-08,,Active,,5
SUB000325,CUST00240,Free,0,2024-01-24,2024-09-20,Upgraded,,8
SUB000326,CUST00240,Pro,49,2024-09-20,,Active,,3
SUB000327,CUST00241,Free,0,2024-10-26,2024-10-26,Upgraded,,1
SUB000328,CUST00241,Pro,49,2024-10-26,,Active,,2
SUB000329,CUST00242,Business,149,2022-04-17,2022-11-13,Downgraded,,7
SUB000330,CUST00242,Pro,49,2022-11-13,2024-04-06,Downgraded,,17
SUB000331,CUST00242,Free,0,2024-04-06,2024-06-10,Churned,Switched to competitor,2
SUB000332,CUST00243,Free,0,2022-09-13,2023-02-17,Churned,Upgraded to paid,5
SUB000333,CUST00244,Pro,49,2022-07-07,,Active,,30
SUB000334,CUST00245,Free,0,2024-04-29,2024-12-03,Churned,Switched to competitor,7
SUB000335,CUST00246,Pro,49,2023-04-05,2024-04-22,Churned,Too expensive,12
SUB000336,CUST00247,Business,149,2022-10-09,2022-10-10,Churned,Too expensive,1
SUB000337,CUST00248,Business,149,2024-07-07,,Active,,5
SUB000338,CUST00249,Free,0,2024-05-16,2024-05-16,Upgraded,,1
SUB000339,CUST00249,Pro,49,2024-05-16,2024-06-15,Upgraded,,1
SUB000340,CUST00249,Business,149,2024-06-15,,Active,,6
SUB000341,CUST00250,Free,0,2024-05-09,,Active,,7
SUB000342,CUST00251,Pro,49,2022-02-03,2022-03-05,Upgraded,,1
SUB000343,CUST00251,Business,149,2022-03-05,,Active,,34
SUB000344,CUST00252,Free,0,2022-01-04,2022-10-13,Churned,No longer needed,9
SUB000345,CUST00253,Business,149,2022-06-25,2024-01-16,Downgraded,,19
SUB000346,CUST00253,Pro,49,2024-01-16,2024-12-15,Churned,Technical issues,11
SUB000347,CUST00254,Pro,49,2022-02-11,2022-07-12,Churned,Technical issues,5
SUB000348,CUST00255,Free,0,2022-02-03,2023-05-29,Upgraded,,16
SUB000349,CUST00255,Pro,49,2023-05-29,2023-10-26,Upgraded,,5
