transaction_id,subscription_id,customer_id,transaction_date,amount,plan,payment_status,payment_method
TXN0000066,SUB000010,CUST00007,2024-05-01,149,Business,Paid,PayPal
TXN0000067,SUB000010,CUST00007,2024-05-31,149,Business,Paid,PayPal
TXN0000068,SUB000010,CUST00007,2024-06-30,149,Business,Paid,Stripe
TXN0000069,SUB000010,CUST00007,2024-07-30,149,Business,Paid,Credit Card
TXN0000070,SUB000010,CUST00007,2024-08-29,149,Business,Paid,Stripe
TXN0000071,SUB000010,CUST00007,2024-09-28,149,Business,Paid,Credit Card
TXN0000072,SUB000010,CUST00007,2024-10-28,149,Business,Paid,Credit Card
TXN0000073,SUB000010,CUST00007,2024-11-27,149,Business,Paid,PayPal
TXN0000074,SUB000011,CUST00007,2024-11-27,49,Pro,Paid,Stripe
TXN0000075,SUB000011,CUST00007,2024-12-27,49,Pro,Paid,Unknown
TXN0000076,SUB000013,CUST00009,2022-07-26,149,Business,Paid,Credit Card
TXN0000077,SUB000013,CUST00009,2022-08-25,149,Business,Paid,Credit Card
TXN0000078,SUB000013,CUST00009,2022-09-24,149,Business,Paid,PayPal
TXN0000079,SUB000013,CUST00009,2022-10-24,149,Business,Paid,Stripe
TXN0000080,SUB000013,CUST00009,2022-11-23,149,Business,Paid,Stripe
TXN0000081,SUB000013,CUST00009,2022-12-23,149,Business,Paid,Stripe
TXN0000082,SUB000013,CUST00009,2023-01-22,149,Business,Paid,Credit Card
TXN0000083,SUB000014,CUST00010,2023-12-29,149,Business,Paid,PayPal
TXN0000084,SUB000014,CUST00010,2024-01-28,0,Business,Refunded,Bank Transfer
TXN0000085,SUB000014,CUST00010,2024-02-27,0,Business,Failed,Stripe
TXN0000086,SUB000014,CUST00010,2024-03-28,149,Business,Paid,PayPal
TXN0000087,SUB000014,CUST00010,2024-04-27,149,Business,Paid,Unknown
TXN0000088,SUB000014,CUST00010,2024-05-27,149,Business,Paid,Bank Transfer
TXN0000089,SUB000014,CUST00010,2024-06-26,149,Business,Paid,Credit Card
TXN0000090,SUB000014,CUST00010,2024-07-26,0,Business,Refunded,Stripe
TXN0000091,SUB000014,CUST00010,2024-08-25,149,Business,Paid,Bank Transfer
TXN0000092,SUB000015,CUST00011,2022-12-17,49,Pro,Paid,PayPal
TXN0000093,SUB000015,CUST00011,2023-01-16,49,Pro,Paid,Bank Transfer
TXN0000094,SUB000015,CUST00011,2023-02-15,0,Pro,Failed,Stripe
TXN0000095,SUB000015,CUST00011,2023-03-17,49,Pro,Paid,Bank Transfer
TXN0000096,SUB000015,CUST00011,2023-04-16,49,Pro,Paid,Credit Card
TXN0000097,SUB000015,CUST00011,2023-05-16,49,Pro,Paid,Stripe
TXN0000098,SUB000015,CUST00011,2023-06-15,49,Pro,Paid,Bank Transfer
TXN0000099,SUB000015,CUST00011,2023-07-15,49,Pro,Paid,Bank Transfer
TXN0000100,SUB000015,CUST00011,2023-08-14,49,Pro,Paid,Credit Card
TXN0000101,SUB000015,CUST00011,2023-09-13,0,Pro,Refunded,Bank Transfer
TXN0000102,SUB000015,CUST00011,2023-10-13,49,Pro,Paid,Stripe
TXN0000103,SUB000016,CUST00012,2023-03-26,149,Business,Paid,Bank Transfer
TXN0000104,SUB000016,CUST00012,2023-04-25,149,Business,Paid,Stripe
TXN0000105,SUB000018,CUST00013,2024-04-01,149,Business,Paid,PayPal
TXN0000106,SUB000018,CUST00013,2024-05-01,149,Business,Paid,Bank Transfer
TXN0000107,SUB000018,CUST00013,2024-05-31,149,Business,Paid,Bank Transfer
TXN0000108,SUB000019,CUST00014,2023-03-12,149,Business,Paid,Bank Transfer
TXN0000109,SUB000019,CUST00014,2023-04-11,149,Business,Paid,Credit Card
TXN0000110,SUB000019,CUST00014,2023-05-11,149,Business,Paid,Unknown
TXN0000111,SUB000019,CUST00014,2023-06-10,0,Business,Refunded,Bank Transfer
TXN0000112,SUB000020,CUST00014,2023-06-10,49,Pro,Paid,Bank Transfer
TXN0000113,SUB000020,CUST00014,2023-07-10,49,Pro,Paid,Credit Card
TXN0000114,SUB000020,CUST00014,2023-08-09,49,Pro,Paid,Stripe
TXN0000115,SUB000020,CUST00014,2023-09-08,49,Pro,Paid,Credit Card
TXN0000116,SUB000020,CUST00014,2023-10-08,49,Pro,Paid,Bank Transfer
TXN0000117,SUB000020,CUST00014,2023-11-07,0,Pro,Refunded,PayPal
TXN0000118,SUB000020,CUST00014,2023-12-07,49,Pro,Paid,Bank Transfer
TXN0000119,SUB000020,CUST00014,2024-01-06,0,Pro,Failed,Bank Transfer
TXN0000120,SUB000020,CUST00014,2024-02-05,49,Pro,Paid,Bank Transfer
TXN0000121,SUB000020,CUST00014,2024-03-06,49,Pro,Paid,PayPal
TXN0000122,SUB000020,CUST00014,2024-04-05,49,Pro,Paid,Bank Transfer
TXN0000123,SUB000020,CUST00014,2024-05-05,49,Pro,Paid,Credit Card
TXN0000124,SUB000020,CUST00014,2024-06-04,49,Pro,Paid,PayPal
TXN0000125,SUB000020,CUST00014,2024-07-04,49,Pro,Paid,Credit Card
TXN0000126,SUB000020,CUST00014,2024-08-03,49,Pro,Paid,PayPal
TXN0000127,SUB000020,CUST00014,2024-09-02,49,Pro,Paid,Stripe
TXN0000128,SUB000020,CUST00014,2024-10-02,49,Pro,Paid,Stripe
TXN0000129,SUB000020,CUST00014,2024-11-01,49,Pro,Paid,Stripe
TXN0000130,SUB000020,CUST00014,2024-12-01,49,Pro,Paid,Stripe
TXN0000131,SUB000020,CUST00014,2024-12-31,49,Pro,Paid,Bank Transfer
TXN0000132,SUB000021,CUST00015,2023-06-27,0,Pro,Refunded,Stripe
TXN0000133,SUB000021,CUST00015,2023-07-27,49,Pro,Paid,Bank Transfer
TXN0000134,SUB000021,CUST00015,2023-08-26,49,Pro,Paid,Bank Transfer
TXN0000135,SUB000021,CUST00015,2023-09-25,49,Pro,Paid,PayPal
TXN0000136,SUB000021,CUST00015,2023-10-25,49,Pro,Paid,Bank Transfer
TXN0000137,SUB000021,CUST00015,2023-11-24,49,Pro,Paid,Credit Card
TXN0000138,SUB000021,CUST00015,2023-12-24,49,Pro,Paid,Stripe
TXN0000139,SUB000021,CUST00015,2024-01-23,49,Pro,Paid,Bank Transfer
TXN0000140,SUB000024,CUST00018,2024-05-14,0,Pro,Failed,Credit Card
TXN0000141,SUB000024,CUST00018,2024-06-13,0,Pro,Failed,PayPal
TXN0000142,SUB000024,CUST00018,2024-07-13,49,Pro,Paid,Bank Transfer
TXN0000143,SUB000024,CUST00018,2024-08-12,49,Pro,Paid,Stripe
TXN0000144,SUB000026,CUST00019,2024-02-24,49,Pro,Paid,Stripe
TXN0000145,SUB000026,CUST00019,2024-03-25,49,Pro,Paid,PayPal
TXN0000146,SUB000026,CUST00019,2024-04-24,49,Pro,Paid,Bank Transfer
TXN0000147,SUB000026,CUST00019,2024-05-24,49,Pro,Paid,Bank Transfer
TXN0000148,SUB000026,CUST00019,2024-06-23,49,Pro,Paid,PayPal
TXN0000149,SUB000026,CUST00019,2024-07-23,0,Pro,Failed,Credit Card
TXN0000150,SUB000026,CUST00019,2024-08-22,49,Pro,Paid,Stripe
TXN0000151,SUB000026,CUST00019,2024-09-21,49,Pro,Paid,Credit Card
TXN0000152,SUB000026,CUST00019,2024-10-21,49,Pro,Paid,Bank Transfer
TXN0000153,SUB000026,CUST00019,2024-11-20,49,Pro,Paid,Bank Transfer
TXN0000154,SUB000026,CUST00019,2024-12-20,49,Pro,Paid,PayPal
TXN0000155,SUB000028,CUST00021,2022-01-07,149,Business,Paid,Credit Card
TXN0000156,SUB000029,CUST00022,2022-08-06,49,Pro,Paid,Stripe
TXN0000157,SUB000029,CUST00022,2022-09-05,49,Pro,Paid,Bank Transfer
TXN0000158,SUB000029,CUST00022,2022-10-05,49,Pro,Paid,PayPal
TXN0000159,SUB000029,CUST00022,2022-11-04,49,Pro,Paid,PayPal
TXN0000160,SUB000029,CUST00022,2022-12-04,49,Pro,Paid,Bank Transfer
TXN0000161,SUB000029,CUST00022,2023-01-03,49,Pro,Paid,PayPal
TXN0000162,SUB000029,CUST00022,2023-02-02,49,Pro,Paid,Credit Card
TXN0000163,SUB000029,CUST00022,2023-03-04,49,Pro,Paid,Credit Card
TXN0000164,SUB000029,CUST00022,2023-04-03,49,Pro,Paid,Stripe
TXN0000165,SUB000029,CUST00022,2023-05-03,49,Pro,Paid,PayPal
TXN0000166,SUB000029,CUST00022,2023-06-02,49,Pro,Paid,Bank Transfer
TXN0000167,SUB000030,CUST00023,2022-11-10,149,Business,Paid,Credit Card
TXN0000168,SUB000030,CUST00023,2022-12-10,149,Business,Paid,PayPal
TXN0000169,SUB000030,CUST00023,2023-01-09,149,Business,Paid,Stripe
TXN0000170,SUB000030,CUST00023,2023-02-08,149,Business,Paid,PayPal
TXN0000171,SUB000030,CUST00023,2023-03-10,149,Business,Paid,Credit Card
TXN0000172,SUB000030,CUST00023,2023-04-09,149,Business,Paid,Bank Transfer
TXN0000173,SUB000030,CUST00023,2023-05-09,149,Business,Paid,Credit Card
TXN0000174,SUB000030,CUST00023,2023-06-08,149,Business,Paid,Stripe
TXN0000175,SUB000030,CUST00023,2023-07-08,149,Business,Paid,Bank Transfer
TXN0000176,SUB000030,CUST00023,2023-08-07,149,Business,Paid,PayPal
TXN0000177,SUB000030,CUST00023,2023-09-06,149,Business,Paid,Stripe
TXN0000178,SUB000030,CUST00023,2023-10-06,149,Business,Paid,Bank Transfer
TXN0000179,SUB000030,CUST00023,2023-11-05,149,Business,Paid,Bank Transfer
TXN0000180,SUB000030,CUST00023,2023-12-05,149,Business,Paid,PayPal
TXN0000181,SUB000030,CUST00023,2024-01-04,0,Business,Failed,Credit Card
TXN0000182,SUB000030,CUST00023,2024-02-03,149,Business,Paid,PayPal
TXN0000183,SUB000030,CUST00023,2024-03-04,0,Business,Failed,Stripe
TXN0000184,SUB000030,CUST00023,2024-04-03,149,Business,Paid,PayPal
TXN0000185,SUB000030,CUST00023,2024-05-03,149,Business,Paid,Bank Transfer
TXN0000186,SUB000030,CUST00023,2024-06-02,149,Business,Paid,Credit Card
TXN0000187,SUB000030,CUST00023,2024-07-02,149,Business,Paid,Bank Transfer
TXN0000188,SUB000030,CUST00023,2024-08-01,149,Business,Paid,PayPal
TXN0000189,SUB000030,CUST00023,2024-08-31,149,Business,Paid,Bank Transfer
TXN0000190,SUB000030,CUST00023,2024-09-30,149,Business,Paid,Bank Transfer
TXN0000191,SUB000030,CUST00023,2024-10-30,0,Business,Failed,Credit Card
TXN0000192,SUB000030,CUST00023,2024-11-29,149,Business,Paid,Stripe
TXN0000193,SUB000033,CUST00025,2023-09-21,49,Pro,Paid,Credit Card
TXN0000194,SUB000033,CUST00025,2023-10-21,49,Pro,Paid,PayPal
TXN0000195,SUB000033,CUST00025,2023-11-20,49,Pro,Paid,Credit Card
TXN0000196,SUB000033,CUST00025,2023-12-20,49,Pro,Paid,Stripe
TXN0000197,SUB000033,CUST00025,2024-01-19,0,Pro,Refunded,Bank Transfer
TXN0000198,SUB000033,CUST00025,2024-02-18,49,Pro,Paid,PayPal
TXN0000199,SUB000033,CUST00025,2024-03-19,49,Pro,Paid,Credit Card
TXN0000200,SUB000034,CUST00025,2024-03-19,149,Business,Paid,Bank Transfer
TXN0000201,SUB000034,CUST00025,2024-04-18,149,Business,Paid,Stripe
TXN0000202,SUB000034,CUST00025,2024-05-18,149,Business,Paid,PayPal
TXN0000203,SUB000034,CUST00025,2024-06-17,149,Business,Paid,PayPal
TXN0000204,SUB000034,CUST00025,2024-07-17,149,Business,Paid,PayPal
TXN0000205,SUB000034,CUST00025,2024-08-16,149,Business,Paid,PayPal
TXN0000206,SUB000034,CUST00025,2024-09-15,149,Business,Paid,Stripe
TXN0000207,SUB000034,CUST00025,2024-10-15,149,Business,Paid,PayPal
TXN0000208,SUB000034,CUST00025,2024-11-14,149,Business,Paid,PayPal
TXN0000209,SUB000034,CUST00025,2024-12-14,149,Business,Paid,Bank Transfer
TXN0000210,SUB000036,CUST00027,2022-12-05,149,Business,Paid,Stripe
TXN0000211,SUB000036,CUST00027,2023-01-04,149,Business,Paid,Bank Transfer
TXN0000212,SUB000036,CUST00027,2023-02-03,149,Business,Paid,PayPal
TXN0000213,SUB000036,CUST00027,2023-03-05,149,Business,Paid,Unknown
TXN0000214,SUB000036,CUST00027,2023-04-04,149,Business,Paid,Bank Transfer
TXN0000215,SUB000036,CUST00027,2023-05-04,149,Business,Paid,PayPal
TXN0000216,SUB000036,CUST00027,2023-06-03,149,Business,Paid,Stripe
TXN0000217,SUB000036,CUST00027,2023-07-03,149,Business,Paid,Bank Transfer
TXN0000218,SUB000036,CUST00027,2023-08-02,149,Business,Paid,PayPal
TXN0000219,SUB000036,CUST00027,2023-09-01,149,Business,Paid,Stripe
TXN0000220,SUB000036,CUST00027,2023-10-01,149,Business,Paid,PayPal
TXN0000221,SUB000037,CUST00028,2023-02-16,49,Pro,Paid,PayPal
TXN0000222,SUB000037,CUST00028,2023-03-18,49,Pro,Paid,Credit Card
TXN0000223,SUB000037,CUST00028,2023-04-17,49,Pro,Paid,Credit Card
TXN0000224,SUB000037,CUST00028,2023-05-17,49,Pro,Paid,Bank Transfer
TXN0000225,SUB000037,CUST00028,2023-06-16,49,Pro,Paid,Credit Card
TXN0000226,SUB000037,CUST00028,2023-07-16,49,Pro,Paid,Bank Transfer
TXN0000227,SUB000037,CUST00028,2023-08-15,49,Pro,Paid,Bank Transfer
TXN0000228,SUB000037,CUST00028,2023-09-14,49,Pro,Paid,Stripe
TXN0000229,SUB000037,CUST00028,2023-10-14,49,Pro,Paid,Stripe
TXN0000230,SUB000037,CUST00028,2023-11-13,49,Pro,Paid,Credit Card
TXN0000231,SUB000037,CUST00028,2023-12-13,49,Pro,Paid,PayPal
TXN0000232,SUB000037,CUST00028,2024-01-12,49,Pro,Paid,Credit Card
TXN0000233,SUB000037,CUST00028,2024-02-11,49,Pro,Paid,Credit Card
TXN0000234,SUB000037,CUST00028,2024-03-12,49,Pro,Paid,Bank Transfer
TXN0000235,SUB000037,CUST00028,2024-04-11,0,Pro,Refunded,PayPal
TXN0000236,SUB000037,CUST00028,2024-05-11,49,Pro,Paid,PayPal
TXN0000237,SUB000037,CUST00028,2024-06-10,49,Pro,Paid,PayPal
TXN0000238,SUB000037,CUST00028,2024-07-10,49,Pro,Paid,Bank Transfer
TXN0000239,SUB000037,CUST00028,2024-08-09,49,Pro,Paid,Bank Transfer
TXN0000240,SUB000037,CUST00028,2024-09-08,49,Pro,Paid,Credit Card
TXN0000241,SUB000037,CUST00028,2024-10-08,49,Pro,Paid,Stripe
TXN0000242,SUB000037,CUST00028,2024-11-07,49,Pro,Paid,Credit Card
TXN0000243,SUB000037,CUST00028,2024-12-07,49,Pro,Paid,Stripe
TXN0000244,SUB000039,CUST00030,2023-04-17,49,Pro,Paid,Credit Card
TXN0000245,SUB000039,CUST00030,2023-05-17,49,Pro,Paid,PayPal
TXN0000246,SUB000039,CUST00030,2023-06-16,49,Pro,Paid,PayPal
TXN0000247,SUB000041,CUST00031,2022-05-19,49,Pro,Paid,Credit Card
TXN0000248,SUB000041,CUST00031,2022-06-18,49,Pro,Paid,Stripe
TXN0000249,SUB000041,CUST00031,2022-07-18,49,Pro,Paid,Stripe
TXN0000250,SUB000041,CUST00031,2022-08-17,49,Pro,Paid,Stripe
TXN0000251,SUB000041,CUST00031,2022-09-16,49,Pro,Paid,PayPal
TXN0000252,SUB000043,CUST00032,2023-03-15,149,Business,Paid,PayPal
TXN0000253,SUB000043,CUST00032,2023-04-14,149,Business,Paid,PayPal
TXN0000254,SUB000043,CUST00032,2023-05-14,149,Business,Paid,Credit Card
TXN0000255,SUB000043,CUST00032,2023-06-13,149,Business,Paid,Bank Transfer
TXN0000256,SUB000043,CUST00032,2023-07-13,149,Business,Paid,Credit Card
TXN0000257,SUB000043,CUST00032,2023-08-12,149,Business,Paid,Credit Card
TXN0000258,SUB000043,CUST00032,2023-09-11,149,Business,Paid,Stripe
TXN0000259,SUB000043,CUST00032,2023-10-11,149,Business,Paid,Bank Transfer
TXN0000260,SUB000043,CUST00032,2023-11-10,149,Business,Paid,PayPal
TXN0000261,SUB000043,CUST00032,2023-12-10,149,Business,Paid,PayPal
TXN0000262,SUB000043,CUST00032,2024-01-09,149,Business,Paid,Unknown
TXN0000263,SUB000043,CUST00032,2024-02-08,149,Business,Paid,Credit Card
TXN0000264,SUB000043,CUST00032,2024-03-09,149,Business,Paid,Stripe
TXN0000265,SUB000043,CUST00032,2024-04-08,149,Business,Paid,Bank Transfer
TXN0000266,SUB000043,CUST00032,2024-05-08,149,Business,Paid,Stripe
TXN0000267,SUB000044,CUST00032,2024-05-08,49,Pro,Paid,Stripe
TXN0000268,SUB000044,CUST00032,2024-06-07,49,Pro,Paid,Stripe
TXN0000269,SUB000044,CUST00032,2024-07-07,49,Pro,Paid,Credit Card
TXN0000270,SUB000044,CUST00032,2024-08-06,49,Pro,Paid,Bank Transfer
TXN0000271,SUB000044,CUST00032,2024-09-05,49,Pro,Paid,Bank Transfer
TXN0000272,SUB000044,CUST00032,2024-10-05,49,Pro,Paid,Credit Card
TXN0000273,SUB000044,CUST00032,2024-11-04,49,Pro,Paid,Credit Card
TXN0000274,SUB000044,CUST00032,2024-12-04,49,Pro,Paid,Unknown
TXN0000275,SUB000045,CUST00033,2023-05-13,149,Business,Paid,Credit Card
TXN0000276,SUB000045,CUST00033,2023-06-12,149,Business,Paid,Stripe
TXN0000277,SUB000045,CUST00033,2023-07-12,149,Business,Paid,PayPal
TXN0000278,SUB000045,CUST00033,2023-08-11,149,Business,Paid,PayPal
TXN0000279,SUB000045,CUST00033,2023-09-10,149,Business,Paid,PayPal
TXN0000280,SUB000045,CUST00033,2023-10-10,149,Business,Paid,Credit Card
TXN0000281,SUB000045,CUST00033,2023-11-09,149,Business,Paid,PayPal
TXN0000282,SUB000045,CUST00033,2023-12-09,149,Business,Paid,Credit Card
TXN0000283,SUB000045,CUST00033,2024-01-08,149,Business,Paid,Credit Card
TXN0000284,SUB000045,CUST00033,2024-02-07,149,Business,Paid,Bank Transfer
TXN0000285,SUB000045,CUST00033,2024-03-08,149,Business,Paid,Bank Transfer
TXN0000286,SUB000045,CUST00033,2024-04-07,149,Business,Paid,Credit Card
TXN0000287,SUB000045,CUST00033,2024-05-07,149,Business,Paid,Bank Transfer
TXN0000288,SUB000045,CUST00033,2024-06-06,149,Business,Paid,PayPal
TXN0000289,SUB000045,CUST00033,2024-07-06,149,Business,Paid,Bank Transfer
TXN0000290,SUB000045,CUST00033,2024-08-05,149,Business,Paid,Stripe
TXN0000291,SUB000045,CUST00033,2024-09-04,149,Business,Paid,Bank Transfer
TXN0000292,SUB000045,CUST00033,2024-10-04,149,Business,Paid,Stripe
TXN0000293,SUB000046,CUST00034,2024-05-17,149,Business,Paid,Bank Transfer
TXN0000294,SUB000047,CUST00034,2024-05-17,49,Pro,Paid,Credit Card
TXN0000295,SUB000047,CUST00034,2024-06-16,49,Pro,Paid,Credit Card
TXN0000296,SUB000048,CUST00035,2022-05-05,149,Business,Paid,Stripe
TXN0000297,SUB000048,CUST00035,2022-06-04,149,Business,Paid,Stripe
TXN0000298,SUB000048,CUST00035,2022-07-04,0,Business,Failed,Stripe
TXN0000299,SUB000048,CUST00035,2022-08-03,149,Business,Paid,Credit Card
TXN0000300,SUB000048,CUST00035,2022-09-02,149,Business,Paid,Bank Transfer
TXN0000301,SUB000048,CUST00035,2022-10-02,149,Business,Paid,Bank Transfer
TXN0000302,SUB000048,CUST00035,2022-11-01,149,Business,Paid,Stripe
TXN0000303,SUB000048,CUST00035,2022-12-01,149,Business,Paid,Credit Card
TXN0000304,SUB000048,CUST00035,2022-12-31,149,Business,Paid,Credit Card
TXN0000305,SUB000048,CUST00035,2023-01-30,149,Business,Paid,Credit Card
TXN0000306,SUB000048,CUST00035,2023-03-01,149,Business,Paid,Credit Card
TXN0000307,SUB000048,CUST00035,2023-03-31,149,Business,Paid,PayPal
TXN0000308,SUB000048,CUST00035,2023-04-30,149,Business,Paid,PayPal
TXN0000309,SUB000048,CUST00035,2023-05-30,149,Business,Paid,Stripe
TXN0000310,SUB000048,CUST00035,2023-06-29,149,Business,Paid,Credit Card
TXN0000311,SUB000048,CUST00035,2023-07-29,149,Business,Paid,Bank Transfer
TXN0000312,SUB000048,CUST00035,2023-08-28,149,Business,Paid,PayPal
TXN0000313,SUB000048,CUST00035,2023-09-27,149,Business,Paid,Credit Card
TXN0000314,SUB000048,CUST00035,2023-10-27,149,Business,Paid,Bank Transfer
TXN0000315,SUB000048,CUST00035,2023-11-26,149,Business,Paid,Stripe
TXN0000316,SUB000048,CUST00035,2023-12-26,149,Business,Paid,PayPal
TXN0000317,SUB000048,CUST00035,2024-01-25,149,Business,Paid,PayPal
TXN0000318,SUB000048,CUST00035,2024-02-24,149,Business,Paid,Bank Transfer
TXN0000319,SUB000048,CUST00035,2024-03-25,149,Business,Paid,Credit Card
TXN0000320,SUB000048,CUST00035,2024-04-24,149,Business,Paid,Bank Transfer
TXN0000321,SUB000048,CUST00035,2024-05-24,149,Business,Paid,Stripe
TXN0000322,SUB000048,CUST00035,2024-06-23,149,Business,Paid,Bank Transfer
TXN0000323,SUB000048,CUST00035,2024-07-23,149,Business,Paid,Stripe
TXN0000324,SUB000048,CUST00035,2024-08-22,149,Business,Paid,Stripe
TXN0000325,SUB000048,CUST00035,2024-09-21,149,Business,Paid,Credit Card
TXN0000326,SUB000048,CUST00035,2024-10-21,149,Business,Paid,PayPal
TXN0000327,SUB000048,CUST00035,2024-11-20,149,Business,Paid,PayPal
TXN0000328,SUB000048,CUST00035,2024-12-20,149,Business,Paid,PayPal
TXN0000329,SUB000050,CUST00036,2023-01-25,49,Pro,Paid,Credit Card
TXN0000330,SUB000050,CUST00036,2023-02-24,49,Pro,Paid,Stripe
TXN0000331,SUB000050,CUST00036,2023-03-26,49,Pro,Paid,Stripe
TXN0000332,SUB000050,CUST00036,2023-04-25,49,Pro,Paid,Credit Card
TXN0000333,SUB000050,CUST00036,2023-05-25,49,Pro,Paid,Stripe
TXN0000334,SUB000050,CUST00036,2023-06-24,49,Pro,Paid,Bank Transfer
